origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-01-10,ARI incidence,2024-01-07,1,BE,median,,1395.08088851866
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.01,978.085337555467
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.025,1043.67644418661
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.05,1116.62989888446
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.1,1175.39445489555
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.15,1212.18814587714
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.2,1241.00327675544
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.25,1268.91660203251
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.3,1294.16234889046
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.35,1318.22793442503
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.4,1343.03443747726
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.45,1368.19916309068
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.5,1392.07933969806
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.55,1419.66372724185
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.6,1447.20612766826
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.65,1472.49612353492
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.7,1496.2945597996
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.75,1521.54587369075
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.8,1566.66163212269
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.85,1609.87754931282
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.9,1659.28276809826
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.95,1739.61253297764
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.975,1814.06481422714
2024-01-10,ARI incidence,2024-01-07,1,BE,quantile,0.99,1882.85094311467
2024-01-10,ARI incidence,2024-01-07,1,BG,median,,848.200153640994
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.01,397.925598487487
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.025,516.297867464123
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.05,563.556674890841
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.1,608.881794504235
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.15,643.085456061523
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.2,672.549341412162
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.25,699.948057087877
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.3,731.248092987816
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.35,759.564182597173
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.4,789.274667743898
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.45,819.137573021024
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.5,848.200153640994
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.55,881.326548234193
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.6,912.206644916076
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.65,948.506958561794
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.7,979.376774551909
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.75,1010.97931995596
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.8,1053.33449690068
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.85,1119.08032824019
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.9,1189.48344961944
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.95,1294.43179860067
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.975,1373.14836029212
2024-01-10,ARI incidence,2024-01-07,1,BG,quantile,0.99,1513.60024528633
2024-01-10,ARI incidence,2024-01-07,1,CZ,median,,888.659724948435
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.01,483.004064729759
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.025,517.852847782869
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.05,545.878816834698
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.1,588.032711002583
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.15,630.341570053072
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.2,674.26479415635
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.25,714.476945811607
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.3,753.991819462271
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.35,784.818740528882
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.4,818.793537285865
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.45,854.087616767701
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.5,888.659724948435
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.55,919.582266895144
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.6,957.806152562899
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.65,993.229642570923
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.7,1036.86901796858
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.75,1082.21979562865
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.8,1131.91516905124
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.85,1189.10553137438
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.9,1296.33739558929
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.95,1407.59174722604
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.975,1499.42991730306
2024-01-10,ARI incidence,2024-01-07,1,CZ,quantile,0.99,1632.73762279342
2024-01-10,ARI incidence,2024-01-07,1,DE,median,,1631.28721576867
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.01,1096.41252844218
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.025,1183.25349250005
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.05,1230.597177662
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.1,1282.05967939211
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.15,1320.25121740452
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.2,1358.48333603063
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.25,1397.32435217165
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.3,1439.73725917414
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.35,1484.80839729814
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.4,1532.13244530124
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.45,1578.12887195745
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.5,1631.28721576867
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.55,1690.67338385359
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.6,1756.41906018678
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.65,1823.53939958614
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.7,1887.59133631746
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.75,1949.32954689897
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.8,2010.46641293116
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.85,2086.2481868672
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.9,2215.65514758573
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.95,2405.13082696035
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.975,2482.68941683488
2024-01-10,ARI incidence,2024-01-07,1,DE,quantile,0.99,2735.80092038528
2024-01-10,ARI incidence,2024-01-07,1,EE,median,,331.083481654054
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.01,158.582429573893
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.025,175.720252579743
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.05,193.240786700714
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.1,221.572129599274
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.15,241.515832338364
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.2,259.672705716199
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.25,276.723499292092
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.3,289.831219996971
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.35,304.32073115212
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.4,316.023520456794
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.45,323.746181877259
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.5,331.083481654054
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.55,339.115137504975
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.6,348.301330940324
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.65,358.713005157913
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.7,369.981691848901
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.75,383.738754736564
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.8,397.798926699719
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.85,420.34316730735
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.9,445.777183511398
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.95,485.661209556399
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.975,544.051296817215
2024-01-10,ARI incidence,2024-01-07,1,EE,quantile,0.99,604.763042948706
2024-01-10,ARI incidence,2024-01-07,1,ES,median,,953.986965898365
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.01,667.726657729671
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.025,691.502147006527
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.05,731.850333917597
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.1,789.535211206729
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.15,817.29429203672
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.2,836.27246472614
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.25,857.853683025102
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.3,882.143782722331
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.35,904.715110489734
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.4,921.921238826263
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.45,938.514120244756
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.5,953.986965898365
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.55,968.501003674057
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.6,982.878168882357
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.65,992.646582239275
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.7,1004.91934587482
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.75,1020.43779496086
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.8,1048.82170581561
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.85,1083.95520394964
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.9,1129.12943857096
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.95,1199.4039948804
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.975,1248.51424471761
2024-01-10,ARI incidence,2024-01-07,1,ES,quantile,0.99,1356.64195161649
2024-01-10,ARI incidence,2024-01-07,1,FI,median,,3705.59031661781
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.01,3112.06442862413
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.025,3193.03050003753
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.05,3275.91163105264
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.1,3356.19324670122
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.15,3415.82944557613
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.2,3465.01938774275
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.25,3517.25254889295
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.3,3555.03515304435
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.35,3596.50660823618
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.4,3636.58651959777
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.45,3673.72017907693
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.5,3707.14903477548
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.55,3744.57350933913
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.6,3778.1910672781
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.65,3811.49825291504
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.7,3851.73289924214
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.75,3890.69829537417
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.8,3928.96834418919
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.85,3979.78583622594
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.9,4037.9086418381
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.95,4120.3028416787
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.975,4195.14489271679
2024-01-10,ARI incidence,2024-01-07,1,FI,quantile,0.99,4309.40022568207
2024-01-10,ARI incidence,2024-01-07,1,FR,median,,411.685134692119
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.01,265.550252940791
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.025,292.336982971134
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.05,312.173110086616
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.1,336.668418513051
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.15,348.118099828487
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.2,357.709231148501
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.25,369.330664624328
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.3,379.697361963073
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.35,387.402688832398
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.4,395.269337836011
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.45,403.3137001635
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.5,411.685134692119
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.55,418.589397181993
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.6,426.505845085059
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.65,434.913855882694
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.7,445.96042567487
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.75,468.751129113578
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.8,488.107169105454
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.85,505.728587876702
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.9,515.137376576011
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.95,544.859148737207
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.975,590.698249384573
2024-01-10,ARI incidence,2024-01-07,1,FR,quantile,0.99,658.535813856738
2024-01-10,ARI incidence,2024-01-07,1,HU,median,,2613.78991554698
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.01,1880.01982968674
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.025,1958.69992933557
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.05,2028.99934372352
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.1,2111.80404456941
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.15,2176.78784661802
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.2,2225.31494423531
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.25,2266.19620981743
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.3,2304.42531148481
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.35,2379.68826104328
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.4,2481.10365530002
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.45,2546.01792505395
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.5,2613.78991554698
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.55,2694.06274400862
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.6,2772.57815350875
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.65,2856.22192885474
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.7,2938.88594944266
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.75,3050.33719410905
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.8,3196.99446846335
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.85,3345.55126436504
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.9,3530.82985434412
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.95,3749.36840367012
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.975,3832.59357979595
2024-01-10,ARI incidence,2024-01-07,1,HU,quantile,0.99,3870.80920710343
2024-01-10,ARI incidence,2024-01-07,1,LT,median,,1028.94871428953
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.01,527.070561630338
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.025,694.594905509145
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.05,739.424104873267
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.1,794.555042865252
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.15,830.936214735794
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.2,860.441679554215
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.25,895.213692019141
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.3,926.9667586126
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.35,954.514800837679
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.4,980.318753685803
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.45,1003.70814017102
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.5,1028.94871428953
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.55,1058.4645907948
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.6,1086.29032737201
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.65,1114.12614884372
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.7,1157.11138090773
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.75,1191.7332182866
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.8,1231.86845030466
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.85,1291.93954695624
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.9,1351.9263285432
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.95,1460.66842350345
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.975,1576.88714229446
2024-01-10,ARI incidence,2024-01-07,1,LT,quantile,0.99,1715.07786348029
2024-01-10,ARI incidence,2024-01-07,1,LV,median,,1519.04002219602
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.01,1253.69209891357
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.025,1293.38702144459
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.05,1325.85085054769
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.1,1366.61281321585
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.15,1397.46537457046
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.2,1420.52103117213
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.25,1439.26379866476
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.3,1456.36236229696
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.35,1472.64399710097
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.4,1487.62764181828
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.45,1502.5802417897
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.5,1516.89026963523
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.55,1532.17578803917
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.6,1549.60521200279
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.65,1564.96797797698
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.7,1581.68914100687
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.75,1601.03674181887
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.8,1622.34470543395
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.85,1646.32712684287
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.9,1677.03675048419
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.95,1721.3953358714
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.975,1762.92180427729
2024-01-10,ARI incidence,2024-01-07,1,LV,quantile,0.99,1822.34543497842
2024-01-10,ARI incidence,2024-01-07,1,NL,median,,189.42582393588
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.01,177.208395310675
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.025,179.064312219126
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.05,180.750971767802
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.1,182.679182070474
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.15,183.989521068736
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.2,185.005835651588
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.25,185.851243735145
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.3,186.653092650514
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.35,187.354812764095
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.4,188.080090971262
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.45,188.810015134144
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.5,189.508979021584
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.55,190.171552467852
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.6,190.841940875177
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.65,191.585554841314
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.7,192.357971010852
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.75,193.197243572897
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.8,194.062667060633
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.85,195.093121123675
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.9,196.504011297894
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.95,198.433959107195
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.975,200.145485253228
2024-01-10,ARI incidence,2024-01-07,1,NL,quantile,0.99,202.547469965153
2024-01-10,ARI incidence,2024-01-07,1,RO,median,,873.24810475758
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.01,482.679962482887
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.025,541.510565754536
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.05,586.135354283511
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.1,636.02489955424
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.15,692.355054460675
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.2,727.650137510384
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.25,755.13097750756
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.3,779.864740624434
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.35,803.680071999838
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.4,826.471617938013
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.45,847.739364059101
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.5,873.24810475758
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.55,892.123776356772
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.6,916.584209391802
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.65,951.201811758734
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.7,988.483373471094
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.75,1032.84122087571
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.8,1083.64936494863
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.85,1143.21786632761
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.9,1225.96441462015
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.95,1339.1466737374
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.975,1409.48110855882
2024-01-10,ARI incidence,2024-01-07,1,RO,quantile,0.99,1502.8607586756
2024-01-10,ARI incidence,2024-01-07,1,SI,median,,1952.75339759606
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.01,1008.74276048917
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.025,1243.45544350466
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.05,1350.01054884519
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.1,1423.61714090771
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.15,1476.2258341538
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.2,1527.83485242101
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.25,1590.7095369033
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.3,1661.98529092625
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.35,1738.99276287809
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.4,1812.69252788621
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.45,1887.18800981902
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.5,1952.75339759606
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.55,1986.93298769028
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.6,2031.57935928727
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.65,2082.25330036953
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.7,2138.00570523497
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.75,2190.31159080288
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.8,2258.92006440403
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.85,2339.63316278158
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.9,2421.44150822007
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.95,2599.67880860537
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.975,2916.78943070898
2024-01-10,ARI incidence,2024-01-07,1,SI,quantile,0.99,3219.02279427734
2024-01-10,ARI incidence,2024-01-14,2,BE,median,,1299.92001523795
